ArcLen,ML,LES,RANS
0.0213399999999997,0.0241463564793794,0.0241463564793794,1.51357558372198
0.0711599999999996,0.0565362505098389,0.0565362505098389,2.65708504104492
0.18556,0.219730958958928,0.23662913739101,1.9310198563392
0.24277,0.35386708018131,0.384172290927561,1.31556123066796
0.2998,0.385614846509623,0.418628937303279,1.23959231934454
0.35662,0.355956842615608,0.386162394280569,1.25286218389398
0.41324,0.308890821360135,0.334368146033261,1.24409422763116
0.46965,0.278035946530402,0.300545623850458,1.23092128489525
0.52589,0.242646198717899,0.261705517034392,1.20273852657006
0.58197,0.212410249109225,0.228437083952194,1.17517701516105
0.63792,0.192455345805469,0.206584425478864,1.15082035285568
0.69377,0.169177639426518,0.180920865302479,1.13000803935555
0.74953,0.155110317600794,0.1648384291574,1.11233871671531
0.80524,0.137215355963769,0.145471475954842,1.09698840576025
0.8609,0.125844793486375,0.13292366653071,1.08323938393616
0.91652,0.110284124577699,0.116173245192123,1.07064915931304
0.97211,0.0996990988356433,0.104491199987687,1.05902372875502
