ArcLen,ML,LES,RANS
0.0213399999999997,-0.286454830194778,-0.286454830194778,-0.233587803883241
0.0711599999999996,-0.197568934071093,-0.197568934071093,-0.165070069184181
0.18556,0.75708452937057,0.734822960836675,0.605342342411673
0.24277,1.17965415605304,1.18213370477825,0.929861554681668
0.2998,1.34097565855798,1.35118475023664,1.05056832611222
0.35662,1.34260829748428,1.35272388662721,1.09043965430997
0.41324,1.32409671933078,1.33301524514595,1.10446888251002
0.46965,1.31082974842816,1.31890906012636,1.10553858230147
0.52589,1.29559883949116,1.3029866941659,1.09905112241521
0.58197,1.28263276975289,1.28918833642443,1.09282531571535
0.63792,1.27477047628576,1.28113095741979,1.088638864733
0.69377,1.26684931085168,1.27272727272727,1.08569141854505
0.74953,1.26157122738431,1.26717099035731,1.08345967077873
0.80524,1.25549471691434,1.26075279160863,1.08180509915886
0.8609,1.25252880108971,1.25762064905382,1.08064305118398
0.91652,1.25112510870151,1.25614307811887,1.07991196139846
0.97211,1.2497383468136,1.25467320286587,1.0796272211662
