ArcLen,ML,LES,RANS
0.0213399999999997,-0.286454830194778,-0.286454830194778,1.51357558372198
0.0711599999999996,-0.197568934071093,-0.197568934071093,2.65708504104492
0.18556,0.771925575059834,0.734822960836675,1.9310198563392
0.24277,1.17800112356957,1.18213370477825,1.31556123066796
0.2998,1.33416959743888,1.35118475023664,1.23959231934454
0.35662,1.33586457138899,1.35272388662721,1.25286218389398
0.41324,1.31815103545401,1.33301524514595,1.24409422763116
0.46965,1.30544354062935,1.31890906012636,1.23092128489525
0.52589,1.29067360304133,1.3029866941659,1.20273852657006
0.58197,1.27826239197186,1.28918833642443,1.17517701516105
0.63792,1.27053015552973,1.28113095741979,1.15082035285568
0.69377,1.26293066960129,1.27272727272727,1.13000803935555
0.74953,1.25783805206898,1.26717099035731,1.11233871671531
0.80524,1.25198933378481,1.26075279160863,1.09698840576025
0.8609,1.2491342357803,1.25762064905382,1.08323938393616
0.91652,1.2477797957566,1.25614307811887,1.07064915931304
0.97211,1.24644844277876,1.25467320286587,1.05902372875502
