ArcLen,ML,LES,RANS
0.0213399999999997,-0.286454830194778,-0.286454830194778,-0.233587803883241
0.0711599999999996,-0.197568934071093,-0.197568934071093,-0.165070069184181
0.18556,0.692544230932024,0.734822960836675,0.605342342411673
0.24277,1.16069353485759,1.18213370477825,0.929861554681668
0.2998,1.34779865017739,1.35118475023664,1.05056832611222
0.35662,1.35761064466728,1.35272388662721,1.09043965430997
0.41324,1.34282531571535,1.33301524514595,1.10446888251002
0.46965,1.32767636579115,1.31890906012636,1.10553858230147
0.52589,1.3082274535758,1.3029866941659,1.09905112241521
0.58197,1.29246477301586,1.28918833642443,1.09282531571535
0.63792,1.28127909929738,1.28113095741979,1.088638864733
0.69377,1.27370654825577,1.27272727272727,1.08569141854505
0.74953,1.26783474292574,1.26717099035731,1.08345967077873
0.80524,1.26118567371848,1.26075279160863,1.08180509915886
0.8609,1.25791500888851,1.25762064905382,1.08064305118398
0.91652,1.2556640219173,1.25614307811887,1.07991196139846
0.97211,1.25385938449936,1.25467320286587,1.0796272211662
