cellID X_coor Y_coor Z_coor UMean_X UMean_Y UMean_Z Iu Iw Uv It
34550 0.0248365 0.446864 0.0248368 16.5943 -0.431747 -0.852534 23.7931 15.1013 16.7393 18.8928
95962 0.0190115 0.441162 0.0190117 15.4431 -0.48839 -1.06886 31.7778 19.7779 20.9859 24.7036
95967 0.0248372 0.441184 0.0190118 15.1366 -0.76257 -1.04756 32.6867 20.3103 21.8473 25.4558
96014 0.0190115 0.441184 0.0248374 15.5867 -0.433707 -1.08913 30.928 19.188 21.0815 24.2157
96020 0.0248371 0.441205 0.0248374 15.2237 -0.774446 -1.08229 32.0374 19.683 22.2901 25.1408
96175 0.0190114 0.446828 0.0190116 16.8195 -0.145024 -0.846645 23.1085 15.2136 15.9981 18.4277
96181 0.0248366 0.446846 0.0190116 16.5857 -0.415841 -0.841581 23.8349 15.5666 16.5953 18.9944
96235 0.0190114 0.446846 0.0248368 16.8912 -0.101809 -0.828727 22.6979 14.5588 16.0628 18.0994
96293 -0.0276764 0.441297 -0.0276768 18.013 2.7115 -1.94235 14.2749 12.2453 11.2628 12.4451
96300 -0.0276792 0.441231 0.0190122 17.9417 3.55827 -0.474667 16.2944 13.4998 11.6759 13.682
96302 -0.0276783 0.441264 -0.0218214 17.9887 3.01801 -1.82145 14.8146 12.6152 11.2838 12.744
96304 0.0651229 0.403236 -0.0275907 9.23614 -0.720224 2.0368 59.7621 26.6324 51.1808 46.6988
96307 0.0248379 0.441251 -0.0276778 16.3045 -1.18216 -0.77284 24.8846 14.3633 17.9511 19.4871
96310 0.0656022 0.441664 -0.0276462 15.4621 -1.72878 0.130356 24.4312 14.6523 19.0412 19.6601
96311 0.0651229 0.403235 -0.0217569 8.88252 -0.687222 2.25588 62.0441 28.7853 55.6336 49.1981
96312 0.0248377 0.441217 -0.0218221 16.1331 -1.12458 -0.874314 26.384 15.7613 18.7233 20.6968
96314 0.0655966 0.441626 0.0190124 14.1155 -1.74967 -0.710245 33.1654 21.3364 24.4489 26.5524
96316 0.0655998 0.441646 -0.0218 15.2716 -1.81278 0.0601598 25.3534 15.4531 19.9539 20.5098
96317 0.0651226 0.403233 0.0190071 5.75616 -0.405733 2.12861 89.2263 48.2877 99.9541 76.9547
96332 -0.0276777 0.441251 0.0248379 17.9141 3.57407 -0.235962 15.8505 13.3492 11.6499 13.459
96336 -0.0276462 0.441664 0.0656022 17.2517 3.096 0.666764 14.583 12.4013 11.7296 12.7489
96339 -0.0218221 0.441217 0.0248377 17.9422 3.11971 -0.337301 17.7195 13.541 12.3624 14.5014
