cellID X_coor Y_coor Z_coor UMean_X UMean_Y UMean_Z Iu Iw Uv It
34550 0.0248365 0.446864 0.0248368 16.3506 -0.134696 -1.26509 25.0334 16.2063 18.0024 20.0508
95962 0.0190115 0.441162 0.0190117 15.5309 -0.111569 -1.41092 30.5983 19.2708 20.7438 23.9695
95967 0.0248372 0.441184 0.0190118 15.2492 -0.437456 -1.31264 31.3551 19.7255 21.5826 24.6512
96014 0.0190115 0.441184 0.0248374 15.4217 -0.152522 -1.44413 30.8351 19.4432 21.4932 24.3246
96020 0.0248371 0.441205 0.0248374 15.2247 -0.379663 -1.40986 31.1827 19.9275 22.2246 24.8087
96175 0.0190114 0.446828 0.0190116 16.6061 0.131729 -1.29179 23.9392 15.6952 17.043 19.1759
96181 0.0248366 0.446846 0.0190116 16.3489 -0.203551 -1.21836 24.8412 16.0861 17.8093 19.8851
96235 0.0190114 0.446846 0.0248368 16.5455 0.0964981 -1.27956 24.3294 15.787 17.2381 19.4207
96293 -0.0276764 0.441297 -0.0276768 17.8422 2.4193 -2.22509 12.0393 11.0858 11.9193 11.4957
96300 -0.0276792 0.441231 0.0190122 17.7828 3.64067 -1.08511 15.3556 13.3397 11.7163 13.2535
96302 -0.0276783 0.441264 -0.0218214 17.8851 2.55898 -2.19298 12.4738 11.382 11.9088 11.7236
96304 0.0651229 0.403236 -0.0275907 13.0469 -0.750141 1.67082 37.5347 14.0045 24.7538 26.925
96307 0.0248379 0.441251 -0.0276778 17.052 -0.892664 -0.697093 17.8142 9.75741 15.3269 14.6586
96309 0.0248281 0.402122 -0.0276062 8.97407 -0.469813 4.14826 66.5538 21.8729 49.4973 44.9028
96310 0.0656022 0.441664 -0.0276462 16.5733 -1.18196 0.348017 17.4671 10.0318 15.1074 14.4969
96311 0.0651229 0.403235 -0.0217569 12.836 -0.710132 2.17972 38.3398 14.907 26.3496 27.765
96312 0.0248377 0.441217 -0.0218221 16.9319 -0.936231 -0.892214 19.513 11.0975 16.0464 15.8848
96314 0.0655966 0.441626 0.0190124 14.7723 -1.52212 -0.581776 29.7961 18.8806 22.3125 23.9527
96315 0.0248281 0.40212 -0.0217609 8.04394 -0.455584 4.66496 74.14 25.5704 59.1289 48.9953
96316 0.0655998 0.441646 -0.0218 16.5039 -1.30365 0.272986 18.5586 10.3792 15.6469 15.1928
96317 0.0651226 0.403233 0.0190071 8.70111 -0.454909 3.43895 58.3663 29.308 60.3245 47.6815
96332 -0.0276777 0.441251 0.0248379 17.7542 3.73315 -0.793053 15.0013 13.2197 11.7232 13.0831
96336 -0.0276462 0.441664 0.0656022 17.0149 3.62665 0.0380164 14.6882 12.8562 12.2551 13.0144
96339 -0.0218221 0.441217 0.0248377 17.742 3.1434 -0.984125 17.8853 13.562 12.6539 14.6266
96340 0.0190114 0.441626 0.0655975 14.978 0.790354 -1.65064 34.1021 20.934 21.6621 26.0767
96343 -0.0218001 0.441646 0.0655999 17.077 3.29601 -0.280888 16.8866 13.4521 12.9388 14.2667
