cellID X_coor Y_coor Z_coor UMean_X UMean_Y UMean_Z Iu Iw Uv It
97867 -0.0456009 0.418754 -0.027696 17.3083 0.932006 -3.80359 20.8876 10.9557 18.9159 17.0256
97868 -0.051585 0.419355 -0.0515866 16.6379 2.16276 -1.27412 12.825 8.72722 16.26 12.8296
97874 -0.0516032 0.402366 -0.0516032 13.9089 -2.54322 2.12384 49.9019 16.0848 20.3027 31.5772
97875 -0.045528 0.419182 -0.051626 16.8417 1.5019 -0.746239 12.8596 7.20936 16.3444 12.6455
97876 -0.0275992 0.402249 -0.0517331 13.3021 -4.47465 -6.0315 40.5467 22.2284 28.3354 27.2651
97880 -0.0454254 0.402284 -0.0516802 16.127 -1.9828 0.313945 30.4595 11.9176 15.0571 20.6296
97881 -0.0276883 0.41897 -0.0516762 17.1191 0.634262 1.58759 13.1634 6.48893 16.7257 12.7833
97882 -0.0516246 0.419182 -0.0455294 16.8541 2.15802 -1.99403 12.8197 9.5378 16.4427 13.0406
97887 -0.05168 0.402284 -0.0454253 10.0722 -2.98753 4.41008 77.323 29.5642 35.3126 45.9331
97888 -0.0516755 0.41897 -0.0276889 17.4166 3.19885 -4.3878 16.9009 13.6112 16.9243 15.1684
97898 -0.0456095 0.418698 -0.00429495 15.3481 2.61927 -4.86817 37.425 17.2678 20.7309 25.0609
97900 -0.0277105 0.418455 -0.0218297 16.2536 -1.45409 -1.26018 24.9717 8.73241 18.3321 18.4534
97901 -0.0276063 0.402121 -0.00428195 9.41594 -1.10039 7.6132 61.362 23.6665 45.4996 35.757
97902 -0.0456053 0.418728 -0.0218222 17.0194 1.06869 -4.34707 24.6803 12.7849 19.4919 18.9555
97904 -0.0277125 0.41842 -0.0042964 13.8807 -2.01031 -2.28888 44.4023 16.848 25.4633 30.3884
97905 -0.0516851 0.418918 0.00153419 15.7861 5.50148 -4.27566 30.007 17.1276 17.0238 20.3445
97911 -0.0516826 0.418929 0.0190111 14.2439 5.83708 -3.30426 37.5217 18.1239 19.0954 23.942
97912 -0.0516849 0.418919 -0.00429436 16.3715 5.39973 -4.54311 25.9281 16.6071 16.469 18.5135
97917 -0.0516805 0.418947 -0.0218184 17.3344 3.58135 -4.7339 19.4277 14.5714 16.9754 16.1841
97919 -0.0456096 0.418696 0.00153393 14.3149 2.79372 -4.64006 43.9198 18.9137 21.9643 28.4156
97920 -0.0276064 0.402121 0.00154054 8.0485 -0.984254 8.34908 71.7476 28.4777 55.0951 37.8651
97922 -0.0277114 0.418434 0.0190098 8.84931 -0.804587 -3.09373 81.4967 35.2752 42.4173 53.4395
97924 -0.0277126 0.418418 0.0015331 12.8488 -1.86167 -2.67606 51.5872 20.292 28.4418 34.8672
