cellID X_coor Y_coor Z_coor UMean_X UMean_Y UMean_Z Iu Iw Uv It
34550 0.0248365 0.446864 0.0248368 16.1623 -0.421031 -1.14797 19.0929 10.322 16.353 15.645
95962 0.0190115 0.441162 0.0190117 15.7188 -0.636588 -1.2323 23.7124 11.7716 17.9201 18.3855
95967 0.0248372 0.441184 0.0190118 15.8087 -0.783228 -0.945375 22.3951 10.9848 17.646 17.5878
96014 0.0190115 0.441184 0.0248374 15.505 -0.612082 -1.40503 25.9078 13.1278 18.4951 19.7834
96020 0.0248371 0.441205 0.0248374 15.5772 -0.782523 -1.10319 24.6366 12.1215 18.3687 19.0012
96175 0.0190114 0.446828 0.0190116 16.2696 -0.247906 -1.24252 18.0461 10.0516 16.1414 15.0897
96181 0.0248366 0.446846 0.0190116 16.2747 -0.416162 -1.00834 17.7462 9.525 16.1069 14.8561
96235 0.0190114 0.446846 0.0248368 16.1547 -0.231788 -1.37092 19.599 10.6933 16.2716 15.8915
96287 -0.027606 0.402125 -0.027606 9.1787 -1.11172 6.28923 67.2856 23.6547 42.5397 39.3562
96293 -0.0276764 0.441297 -0.0276768 16.5007 1.39461 -1.48463 12.8115 9.23166 14.1872 12.1638
96297 -0.0276062 0.402123 -0.0217608 7.6027 -0.982559 7.10603 78.9895 30.3927 55.0366 42.3939
96300 -0.0276792 0.441231 0.0190122 16.6369 2.76116 -2.35196 16.1309 12.6647 12.6925 13.6052
96302 -0.0276783 0.441264 -0.0218214 16.5876 1.46464 -1.68261 12.8532 9.5755 14.0526 12.197
96304 0.0651229 0.403236 -0.0275907 12.3189 -1.07035 -4.01948 39.0702 17.5814 27.3997 27.8187
96307 0.0248379 0.441251 -0.0276778 16.3222 0.0122865 0.469915 13.4458 7.33731 14.8697 12.3201
96309 0.0248281 0.402122 -0.0276062 14.5744 -0.608874 -0.883293 27.5819 7.47808 18.7858 19.6917
96310 0.0656022 0.441664 -0.0276462 15.9487 0.427461 1.567 17.1413 9.50544 15.9693 14.5217
96311 0.0651229 0.403235 -0.0217569 13.7569 -1.08179 -2.81302 31.9854 13.3295 21.8988 23.1181
