cellID X_coor Y_coor Z_coor UMean_X UMean_Y UMean_Z Iu Iw Uv It
34550 0.0248365 0.446864 0.0248368 15.7855 -0.392343 -1.4874 26.1997 14.4164 19.0423 20.3719
95962 0.0190115 0.441162 0.0190117 15.2758 -0.520836 -1.51677 30.6098 15.8981 20.4851 23.0348
95967 0.0248372 0.441184 0.0190118 15.2074 -0.7459 -1.32751 30.5159 15.7081 20.8249 23.0625
96014 0.0190115 0.441184 0.0248374 15.0699 -0.451688 -1.68241 31.1258 17.1175 21.5387 23.8257
96020 0.0248371 0.441205 0.0248374 14.9822 -0.683968 -1.51373 31.318 17.0094 22.0268 24.0417
96175 0.0190114 0.446828 0.0190116 16.0294 -0.238412 -1.47851 24.9973 13.5909 17.7165 19.2677
96181 0.0248366 0.446846 0.0190116 15.9239 -0.474788 -1.32915 25.3045 13.3819 18.1562 19.4943
96235 0.0190114 0.446846 0.0248368 15.8901 -0.149637 -1.61452 25.8835 14.5455 18.5912 20.1206
96293 -0.0276764 0.441297 -0.0276768 16.8528 1.88047 -2.06666 14.5849 11.0794 14.1476 13.182
96300 -0.0276792 0.441231 0.0190122 16.8664 3.35413 -1.98331 18.7744 13.8495 13.4927 15.1606
96302 -0.0276783 0.441264 -0.0218214 16.9231 1.99175 -2.16886 14.8706 11.345 13.9485 13.2716
96304 0.0651229 0.403236 -0.0275907 13.4621 -0.951363 -0.818981 39.0062 12.9795 22.0426 26.8146
96307 0.0248379 0.441251 -0.0276778 16.3979 -0.410539 -0.0707169 16.5779 8.51474 16.1935 14.2497
96309 0.0248281 0.402122 -0.0276062 12.7398 -0.509395 1.90571 43.1969 10.691 23.915 28.8238
96310 0.0656022 0.441664 -0.0276462 16.1307 -0.272548 0.931032 17.3688 9.94917 15.7986 14.6959
96311 0.0651229 0.403235 -0.0217569 14.0359 -0.863681 0.0519104 36.1723 10.9856 19.2171 24.4377
96312 0.0248377 0.441217 -0.0218221 16.4 -0.576773 -0.280641 17.7962 8.80725 16.6544 14.9512
96313 0.0248279 0.402119 0.0190065 7.02388 -0.285682 5.64395 82.8451 28.4594 72.5358 51.1597
96314 0.0655966 0.441626 0.0190124 15.4917 -1.49663 -0.135144 24.9518 13.3725 19.5892 19.7831
96315 0.0248281 0.40212 -0.0217609 12.4105 -0.445687 2.85428 44.9937 11.1204 25.5933 29.7715
96316 0.0655998 0.441646 -0.0218 16.1504 -0.565354 0.811096 17.8666 9.59778 15.9966 14.8855
96317 0.0651226 0.403233 0.0190071 12.595 -0.566911 3.09415 41.8695 15.2589 29.2162 29.8483
96332 -0.0276777 0.441251 0.0248379 16.7928 3.51978 -1.79332 19.3782 14.054 13.4027 15.4186
96336 -0.0276462 0.441664 0.0656022 16.1455 3.8316 -0.778931 20.6019 14.5832 13.6827 16.1106
96339 -0.0218221 0.441217 0.0248377 16.693 2.86266 -1.97004 22.2049 14.2207 14.7061 17.0655
96340 0.0190114 0.441626 0.0655975 13.433 0.628352 -2.40789 42.2767 22.8846 25.1483 30.7993
96343 -0.0218001 0.441646 0.0655999 15.9509 3.46064 -1.17694 24.4295 15.5316 14.6276 18.253
96344 0.0651854 0.403948 0.0651849 8.38365 -0.637546 4.95824 60.7289 33.9831 51.0577 42.8007
96345 0.024828 0.40212 0.024828 6.30181 -0.267059 5.61572 89.3658 32.51 83.5619 54.5389
96346 0.0655975 0.441637 0.024838 15.2662 -1.55283 -0.354131 26.504 14.4994 20.7767 21.0546
96347 0.0248368 0.441637 0.0655988 13.27 0.308007 -2.37075 42.7644 23.3803 26.0693 31.406
96348 0.0651227 0.403234 0.0248294 12.0503 -0.571188 3.28414 43.6997 16.9146 32.5649 31.7531
96350 0.0656149 0.44182 0.0656199 13.2761 -1.44726 -1.33653 38.5445 22.1735 27.0217 29.7163
96357 0.0190122 0.441231 -0.0276793 16.461 -0.362826 -0.246737 16.5561 8.50248 16.2493 14.2596
96359 0.0190064 0.402121 -0.0276063 12.4116 -0.510883 2.68667 45.4115 11.5145 25.678 30.1219
96360 -0.0218211 0.441264 -0.0276786 16.8971 1.46144 -1.93947 14.9884 10.5596 14.5351 13.3709
96818 0.019012 0.441196 -0.0218232 16.4508 -0.511154 -0.471966 17.893 8.79584 16.7252 15.0117
96819 0.0190065 0.402118 0.0190065 5.96488 -0.265877 5.91933 96.858 34.4931 88.8155 55.6512
96820 -0.0218231 0.441196 0.019012 16.7649 2.69554 -2.11684 21.7543 14.0956 14.6794 16.8505
96821 0.0190065 0.402119 -0.021761 11.9626 -0.456654 3.44958 48.2647 12.3017 27.9669 31.6671
96822 -0.0218224 0.44123 -0.0218227 16.9647 1.539 -2.06421 15.4121 10.8281 14.3982 13.5331
97861 -0.0455588 0.418989 -0.0455598 17.1879 3.1791 -3.83055 22.6295 13.0278 17.1566 17.3265
97862 -0.0276027 0.402162 -0.0455064 8.45709 -1.29549 4.51626 80.9694 25.0144 47.5611 49.0459
97864 -0.0277085 0.418486 -0.0277088 12.8475 -0.33653 -2.80897 54.7525 20.4479 27.6428 36.4544
97866 -0.0276955 0.418754 -0.0456014 15.9134 -0.475611 -1.46054 32.1965 10.5813 22.3406 23.3272
97867 -0.0456009 0.418754 -0.027696 16.2156 4.45851 -4.21733 32.3426 15.5928 17.0775 21.469
97868 -0.051585 0.419355 -0.0515866 16.9696 4.24814 -3.79481 16.9032 13.5085 16.4835 14.8882
97875 -0.045528 0.419182 -0.051626 17.2025 2.97199 -3.48423 19.7766 12.1029 17.8867 16.3379
97876 -0.0275992 0.402249 -0.0517331 9.50868 -1.99778 2.01558 71.5877 25.9665 44.4675 48.7866
97881 -0.0276883 0.41897 -0.0516762 16.3199 -0.129321 -0.967961 28.0699 9.41359 21.6529 21.1391
97882 -0.0516246 0.419182 -0.0455294 17.1097 4.61598 -4.02198 18.1874 14.1497 15.7091 15.1601
97888 -0.0516755 0.41897 -0.0276889 16.8069 6.22933 -4.00547 22.8308 15.6225 15.0537 16.6396
97898 -0.0456095 0.418698 -0.00429495 13.6144 5.14294 -3.55388 47.6645 20.1052 21.6172 29.4169
97900 -0.0277105 0.418455 -0.0218297 11.7741 -0.296703 -2.99949 61.5456 23.8239 30.8968 40.7573
97902 -0.0456053 0.418728 -0.0218222 15.6222 4.57961 -4.18493 36.1083 16.3207 17.8515 23.3207
97904 -0.0277125 0.41842 -0.0042964 7.9603 0.414932 -3.2968 94.086 41.3185 48.5119 60.544
97905 -0.0516851 0.418918 0.00153419 15.0518 7.15917 -2.78929 33.6667 18.3149 17.2452 21.6115
97911 -0.0516826 0.418929 0.0190111 14.48 7.32556 -1.66923 35.4956 19.0046 17.7452 22.5487
97912 -0.0516849 0.418919 -0.00429436 15.4689 7.20433 -3.03262 30.8584 17.7074 16.597 20.23
97917 -0.0516805 0.418947 -0.0218184 16.5479 6.45868 -3.88991 24.9644 15.9281 15.3636 17.5275
97919 -0.0456096 0.418696 0.00153393 12.0225 4.4155 -3.36741 58.6974 23.2114 25.9664 35.7739
97925 -0.0456074 0.41871 0.0190105 10.8402 4.45498 -2.50631 65.6809 26.2295 29.6731 40.0517
97926 0.0481419 0.418981 -0.0455581 15.2215 -0.0693824 2.69166 27.6239 11.8254 22.3972 21.3068
97927 0.0651146 0.403267 -0.0452469 9.24552 -0.215769 -3.61858 60.949 28.6759 42.2573 42.7406
97928 0.0480976 0.402164 -0.0276027 13.2412 -0.552384 -0.00412315 39.1106 9.75621 22.7386 26.6967
97929 0.0656017 0.419619 -0.0276732 14.9364 -1.34834 1.99469 30.5774 11.1468 20.8549 22.0327
97930 0.0480992 0.4022 -0.0454757 9.98977 -0.770165 -4.74759 54.4184 20.1572 43.7327 37.8003
97931 0.0656302 0.419765 -0.0454452 14.3861 0.564949 2.78133 33.6246 14.8657 22.816 24.5088
97932 0.0481328 0.418748 -0.027695 15.2479 -1.47705 1.65711 27.263 10.5165 19.5609 20.0901
97933 0.0423183 0.419066 -0.0516502 15.5722 1.12211 2.71611 24.1292 14.3184 20.7646 19.8032
97936 0.0248287 0.402247 -0.0517348 8.78874 -0.677953 -5.21141 61.8854 27.5649 55.2623 43.3219
97938 0.0422932 0.40226 -0.0517193 8.38464 -0.0759475 -5.72739 61.9242 27.915 54.336 41.4679
97939 0.0248364 0.418942 -0.0516799 15.8465 0.618237 2.5768 22.9266 12.7239 21.1596 19.1865
97940 0.0481486 0.419172 -0.0516242 15.4016 1.22685 2.70765 25.1781 14.703 20.6578 20.2567
97941 0.0651142 0.403327 -0.0512675 7.42113 0.843619 -3.63121 74.0601 37.6791 53.5061 50.9882
97945 0.0481039 0.402285 -0.0516887 8.22221 0.0751199 -5.61998 62.8746 28.2235 54.1233 41.7676
97946 0.065652 0.419873 -0.0514672 14.6917 1.84169 2.40818 29.6032 17.1586 19.65 22.3107
97947 0.0423142 0.418863 -0.0455793 15.4314 -0.182613 2.63577 26.3259 11.38 22.3041 20.6756
97948 0.0422881 0.402138 -0.0276047 13.1862 -0.519944 0.381302 39.6991 9.94426 22.5064 26.9335
97949 0.0248285 0.40216 -0.0455076 10.958 -1.23764 -3.3506 51.7733 18.2205 41.0381 37.6187
97950 0.0248341 0.418452 -0.0277102 15.0039 -1.68611 1.20387 30.9158 12.4202 20.1111 22.2573
97951 0.0422903 0.402174 -0.0454964 10.1898 -0.905347 -4.5659 53.9747 19.7862 43.3362 37.8065
97952 0.0248355 0.418724 -0.0456048 15.7454 -0.615011 2.28574 24.6112 10.2962 21.7025 19.6348
97953 0.0423084 0.418614 -0.027701 15.2606 -1.52353 1.54691 27.34 10.5653 19.2344 20.0389
97954 0.0481303 0.418693 -0.00429471 14.0138 -1.66767 1.27057 35.7541 16.2911 22.6177 25.8865
97955 0.0480977 0.402162 -0.0217595 13.4038 -0.430605 0.981896 38.4709 9.10935 21.0487 25.7765
97956 0.0655979 0.419601 -0.0218104 15.1634 -1.53037 1.6791 28.5725 11.0881 19.1956 20.6486
97957 0.0651224 0.403233 -0.0042822 14.169 -0.62826 1.84217 35.2138 10.6324 19.2422 23.7445
97958 0.0481317 0.418723 -0.0218214 15.1416 -1.5941 1.40659 28.011 11.0741 19.1333 20.402
97959 0.0480976 0.40216 -0.00428184 12.8036 -0.300163 2.94711 41.4737 10.5694 24.8312 27.8326
97960 0.0655931 0.419578 -0.00429343 14.8825 -1.63567 1.31066 30.2771 12.83 19.7246 21.9224
97961 0.0423065 0.418552 0.00153363 12.6747 -1.75555 1.15109 43.5099 21.7824 27.3752 31.8002
97962 0.0248335 0.418399 0.0190093 7.93568 -1.56637 0.621694 75.5517 46.7667 55.3779 59.1294
97963 0.024828 0.402118 0.00154053 9.56359 -0.35655 5.15324 61.9904 19.0299 44.0021 39.8086
97964 0.0422879 0.402135 0.0190065 9.69575 -0.31277 4.50827 58.6686 18.2136 45.876 40.1217
97965 0.0248336 0.418382 0.00153287 10.4562 -1.81048 1.01419 58.781 31.2108 36.7873 43.0639
97966 0.0422881 0.402134 0.00154057 11.7213 -0.276957 3.77249 47.5748 13.0272 30.7299 31.9314
97967 0.0423066 0.418568 0.0190095 10.5617 -1.67522 0.97433 53.9292 31.2681 37.7519 41.3854
97968 0.0423066 0.418554 -0.00429531 13.6407 -1.73682 1.20961 38.0148 17.9112 23.975 27.6026
97969 0.042288 0.402136 -0.0217602 13.2009 -0.428285 1.38637 39.9142 9.35111 21.6646 26.61
97970 0.0248339 0.418421 -0.0218308 14.4531 -1.82563 1.01177 34.4047 14.6342 21.7025 24.7026
97971 0.024828 0.402119 -0.00428196 10.3794 -0.364001 4.75597 56.7015 16.4503 37.543 36.7043
97972 0.0248335 0.418385 -0.00429654 11.6648 -1.92613 1.06886 51.0052 25.5869 31.3837 36.9464
97973 0.0423077 0.418587 -0.0218248 15.0288 -1.61793 1.31791 28.9516 11.6415 19.3993 21.012
97974 0.042288 0.402134 -0.00428193 12.3218 -0.303149 3.35204 44.0648 11.3628 27.1356 29.5085
97975 0.0481302 0.418691 0.00153397 13.1949 -1.7197 1.21544 40.1593 19.7959 25.6441 29.4173
97976 0.0651223 0.403232 0.0015404 13.8957 -0.577413 2.25273 36.525 11.6376 21.0777 24.9107
97977 0.0480976 0.402161 0.0190065 10.4321 -0.265121 4.1845 53.9765 16.0964 40.3257 37.1094
97978 0.0655943 0.419587 0.0190114 12.8022 -1.71246 1.26029 40.6214 21.4271 27.0387 30.3538
97979 0.0480976 0.40216 0.0015406 12.2763 -0.262414 3.34978 44.277 11.7219 27.8307 29.8453
97980 0.0655927 0.419577 0.00153468 14.4271 -1.64947 1.30521 32.5735 15.2317 21.3278 23.8854
97981 0.0481304 0.418705 0.0190099 11.148 -1.69665 1.07919 50.2879 28.4421 34.7811 38.3156
98018 -0.0455581 0.418981 0.0481419 11.5747 4.34427 -1.71741 59.8554 24.057 29.2885 37.9306
98024 -0.0454452 0.419765 0.0656302 12.2316 4.77874 -1.62622 51.3388 22.0645 23.8637 32.4279
98025 -0.0516502 0.419066 0.0423183 14.2529 6.72857 -0.373535 38.2483 18.7454 18.9348 24.3301
98030 -0.0517193 0.40226 0.0422932 -3.55898 0.154572 -1.52325 80.271 47.7181 91.3568 69.285
98031 -0.0516799 0.418942 0.0248364 14.2388 7.14756 -1.4275 37.7122 19.3911 18.3985 23.7563
98032 -0.0455793 0.418863 0.0423141 10.5382 4.29301 -1.83104 68.4839 27.2688 32.7506 42.5806
98037 -0.0456048 0.418724 0.0248355 10.459 4.35785 -2.31239 68.9924 27.1531 31.4394 42.0528
98039 -0.0516243 0.419172 0.0481486 14.867 6.73128 -0.0250013 33.7328 17.5064 17.9702 22.1107
98045 -0.0514671 0.419873 0.065652 14.8266 6.42443 0.177308 28.1339 16.3273 17.589 19.5888
98054 0.0190092 0.418399 0.0248336 6.43516 -1.45949 -0.0122971 89.5564 59.3583 72.6775 73.0356
98059 0.0190093 0.418568 0.0423069 6.2737 -1.37895 -1.0849 87.6212 60.6491 77.2873 73.1939
98073 0.0190096 0.418705 0.0481307 5.95656 -1.23532 -1.29633 92.5128 63.6521 79.4436 76.0553
98074 0.0481366 0.418977 0.0481378 8.73249 -1.83269 0.43663 60.7001 40.6118 51.8938 50.5628
98075 0.0651208 0.40327 0.0481054 10.0052 -0.581559 4.05004 51.9388 23.9283 45.4061 39.0213
98076 0.0481056 0.403269 0.0651209 6.44128 -0.272694 5.23898 76.5217 40.0374 69.3225 49.5759
98077 0.0656919 0.420149 0.0656961 8.53757 -1.53122 0.942438 61.0347 43.6633 49.1328 50.6757
