cellID X_coor Y_coor Z_coor UMean_X UMean_Y UMean_Z CpMean It Uin gradp Angle
34550 0.0248365 0.446864 0.0248368 14.0068 1.13787 1.77669 -0.508292 0.0491245 1.05779 2.64934 7.5
95962 0.0190115 0.441162 0.0190117 12.6624 1.25641 1.82493 -0.560677 0.0554829 1.05508 2.83849 7.5
95967 0.0248372 0.441184 0.0190118 12.2839 0.988123 1.73409 -0.553706 0.0580415 1.05509 2.55439 7.5
96014 0.0190115 0.441184 0.0248374 13.0062 1.15792 1.8674 -0.552254 0.0527344 1.05509 2.8769 7.5
96020 0.0248371 0.441205 0.0248374 12.6772 0.906313 1.77124 -0.545085 0.0545574 1.0551 2.59377 7.5
96175 0.0190114 0.446828 0.0190116 14.0736 1.44691 1.8046 -0.519246 0.0497408 1.05778 2.92061 7.5
96181 0.0248366 0.446846 0.0190116 13.8691 1.19968 1.74725 -0.515916 0.0501602 1.05779 2.70758 7.5
96235 0.0190114 0.446846 0.0248368 14.189 1.37299 1.84123 -0.511836 0.0489477 1.05779 2.86331 7.5
96293 -0.0276764 0.441297 -0.0276768 14.733 3.91808 0.513944 -0.437312 0.0537565 1.05515 4.36361 7.5
96300 -0.0276792 0.441231 0.0190122 14.5936 3.99793 2.18793 -0.476796 0.0545637 1.05511 4.8821 7.5
96302 -0.0276783 0.441264 -0.0218214 14.674 4.04694 0.694138 -0.445373 0.0539035 1.05513 4.35078 7.5
96304 0.0651229 0.403236 -0.0275907 0.651287 0.10687 2.65695 -0.471374 0.018448 1.03628 3.33003 7.5
96307 0.0248379 0.441251 -0.0276778 13.4789 0.905938 0.704262 -0.547241 0.0519204 1.05512 3.07655 7.5
96310 0.0656022 0.441664 -0.0276462 12.5783 -0.437386 1.15624 -0.454826 0.0551311 1.05532 1.69624 7.5
96311 0.0651229 0.403235 -0.0217569 -0.342155 0.283552 2.75806 -0.482103 0.016648 1.03628 3.3266 7.5
96312 0.0248377 0.441217 -0.0218221 13.0458 1.01008 0.689062 -0.555356 0.0554225 1.05511 2.95126 7.5
96314 0.0655966 0.441626 0.0190124 10.2604 -0.0804337 1.14964 -0.455682 0.0715874 1.0553 1.16798 7.5
96316 0.0655998 0.441646 -0.0218 11.9544 -0.403282 0.972358 -0.460407 0.0614662 1.05531 1.64897 7.5
96317 0.0651226 0.403233 0.0190071 -0.990938 0.782684 -0.721915 -0.478387 0.00981385 1.03628 1.41364 7.5
96332 -0.0276777 0.441251 0.0248379 14.6334 3.84875 2.33623 -0.475192 0.0545692 1.05512 4.96554 7.5
96336 -0.0276462 0.441664 0.0656022 14.502 3.09499 2.72435 -0.360089 0.0516478 1.05532 3.15578 7.5
96339 -0.0218221 0.441217 0.0248377 14.6094 3.49079 2.3046 -0.502488 0.0527516 1.05511 4.75436 7.5
96340 0.0190114 0.441626 0.0655975 14.2794 1.54358 1.71856 -0.449291 0.0450632 1.0553 2.05675 7.5
96343 -0.0218001 0.441646 0.0655999 14.5421 2.88728 2.59248 -0.380425 0.0509408 1.05531 2.97001 7.5
96346 0.0655975 0.441637 0.024838 10.8898 -0.102929 1.20816 -0.453035 0.0651122 1.05531 1.13967 7.5
