cellID X_coor Y_coor Z_coor UMean_X UMean_Y UMean_Z CpMean It Uin gradp Angle
34550 0.0248365 0.446864 0.0248368 10.9139 -0.496082 10.9061 -0.409321 0.0427129 1.04452 1.17193 45
95962 0.0190115 0.441162 0.0190117 10.9264 -0.644959 10.9199 -0.422677 0.0445944 1.04184 1.15333 45
95967 0.0248372 0.441184 0.0190118 10.7819 -0.69205 11.0665 -0.424088 0.0446676 1.04185 1.10073 45
96014 0.0190115 0.441184 0.0248374 11.0732 -0.691394 10.7749 -0.423898 0.0446725 1.04185 1.16317 45
96020 0.0248371 0.441205 0.0248374 10.9291 -0.745999 10.9219 -0.424935 0.0446459 1.04186 1.07939 45
96175 0.0190114 0.446828 0.0190116 10.9047 -0.384939 10.8974 -0.405434 0.042472 1.0445 1.2582 45
96181 0.0248366 0.446846 0.0190116 10.7877 -0.437436 11.0245 -0.407585 0.0426651 1.04451 1.20357 45
96235 0.0190114 0.446846 0.0248368 11.0318 -0.436846 10.7801 -0.407404 0.0426668 1.04451 1.23423 45
96287 -0.027606 0.402125 -0.027606 7.17231 -1.4894 7.17017 -0.725958 0.0217149 1.02271 6.13121 45
96293 -0.0276764 0.441297 -0.0276768 10.8315 1.03714 10.8277 -0.38335 0.0397885 1.04191 3.38156 45
96297 -0.0276062 0.402123 -0.0217608 6.15584 -1.44017 8.17426 -0.693845 0.0212751 1.02271 6.65555 45
96300 -0.0276792 0.441231 0.0190122 12.0713 0.917463 9.84757 -0.428455 0.0463606 1.04188 3.13596 45
96302 -0.0276783 0.441264 -0.0218214 11.0419 0.883211 10.6875 -0.392831 0.0403525 1.04189 3.23302 45
96303 -0.0276063 0.402121 0.0190064 -0.0619252 -0.809497 9.87865 -0.803365 0.0207483 1.02271 6.37111 45
96307 0.0248379 0.441251 -0.0276778 9.77319 1.0007 12.1309 -0.432135 0.047 1.04188 3.01754 45
96309 0.0248281 0.402122 -0.0276062 9.61508 -0.619873 -0.595032 -0.806595 0.0201873 1.02271 6.4793 45
96310 0.0656022 0.441664 -0.0276462 9.57829 1.90223 11.9624 -0.429043 0.0482574 1.04208 2.79271 45
96311 0.0651229 0.403235 -0.0217569 6.82913 0.127571 0.0204028 -0.684821 0.017405 1.02328 2.50655 45
96312 0.0248377 0.441217 -0.0218221 9.85526 0.607498 12.0749 -0.435054 0.0468286 1.04187 2.66833 45
