cellID X_coor Y_coor Z_coor UMean_X UMean_Y UMean_Z CpMean It Uin gradp Angle
34550 0.0248365 0.446864 0.0248368 12.6709 -0.316978 8.81227 -0.691248 0.0717518 1.3294 2.49414 37.5
95962 0.0190115 0.441162 0.0190117 12.6937 -0.402777 8.75303 -0.721041 0.073273 1.32599 2.69681 37.5
95967 0.0248372 0.441184 0.0190118 12.5935 -0.536213 8.89422 -0.715836 0.0730098 1.326 2.4609 37.5
96014 0.0190115 0.441184 0.0248374 12.7287 -0.350596 8.6485 -0.732775 0.0729862 1.326 2.80301 37.5
96020 0.0248371 0.441205 0.0248374 12.6368 -0.497638 8.78597 -0.72686 0.072611 1.32602 2.53386 37.5
96175 0.0190114 0.446828 0.0190116 12.6986 -0.201463 8.78973 -0.682967 0.0719847 1.32938 2.59745 37.5
96181 0.0248366 0.446846 0.0190116 12.5996 -0.327534 8.91554 -0.680977 0.0715558 1.32939 2.41219 37.5
96235 0.0190114 0.446846 0.0248368 12.7596 -0.173122 8.69368 -0.693487 0.0722744 1.32939 2.70176 37.5
96287 -0.027606 0.402125 -0.027606 6.30818 -1.44132 6.9858 -1.20386 0.0338583 1.30165 11.2248 37.5
96293 -0.0276764 0.441297 -0.0276768 12.5063 1.29693 8.66666 -0.596391 0.0677523 1.32607 5.48073 37.5
96297 -0.0276062 0.402123 -0.0217608 4.74758 -1.41245 7.49507 -1.23751 0.034045 1.30164 12.7084 37.5
96300 -0.0276792 0.441231 0.0190122 13.2676 2.03649 7.9003 -0.712197 0.0797519 1.32603 5.9712 37.5
96302 -0.0276783 0.441264 -0.0218214 12.7139 1.27969 8.5113 -0.617094 0.0698676 1.32605 5.48022 37.5
96304 0.0651229 0.403236 -0.0275907 9.15968 -0.155151 0.426097 -1.04405 0.0317829 1.30236 1.21905 37.5
96307 0.0248379 0.441251 -0.0276778 11.5267 0.523762 10.2241 -0.659566 0.0728331 1.32604 3.99368 37.5
96309 0.0248281 0.402122 -0.0276062 10.9452 -0.975134 1.18449 -1.07803 0.0329525 1.30164 11.267 37.5
96310 0.0656022 0.441664 -0.0276462 11.1059 1.02062 10.5276 -0.652065 0.0762427 1.32629 3.79525 37.5
96311 0.0651229 0.403235 -0.0217569 9.92568 -0.352018 1.24472 -0.999889 0.0341862 1.30236 3.42068 37.5
96312 0.0248377 0.441217 -0.0218221 11.6438 0.221345 10.0966 -0.666838 0.0726297 1.32602 3.53642 37.5
96313 0.0248279 0.402119 0.0190065 7.66514 -0.467111 8.20282 -0.77563 0.0323214 1.30164 2.78246 37.5
96314 0.0655966 0.441626 0.0190124 11.8997 -0.905664 9.8368 -0.708039 0.0725926 1.32627 2.20001 37.5
96315 0.0248281 0.40212 -0.0217609 10.9832 -0.935819 2.63394 -0.946463 0.034362 1.30164 8.35244 37.5
96316 0.0655998 0.441646 -0.0218 11.1424 0.650359 10.538 -0.665186 0.0757722 1.32628 3.57888 37.5
96317 0.0651226 0.403233 0.0190071 11.4911 -0.887463 7.29284 -0.894044 0.0397116 1.30236 6.85163 37.5
96332 -0.0276777 0.441251 0.0248379 13.2131 2.18731 7.90251 -0.719663 0.0801336 1.32604 5.99822 37.5
96336 -0.0276462 0.441664 0.0656022 12.4902 2.783 8.31233 -0.702882 0.0781948 1.32629 4.77015 37.5
96338 0.0190065 0.402119 0.0248279 6.25896 -0.45146 8.36389 -0.8307 0.0311856 1.30164 3.14889 37.5
