cellID X_coor Y_coor Z_coor UMean_X UMean_Y UMean_Z CpMean It Uin gradp Angle
34550 0.0248365 0.446864 0.0248368 13.5484 0.145518 6.82292 -0.473071 0.0443598 1.04723 2.37955 30
95962 0.0190115 0.441162 0.0190117 13.4685 0.139517 6.65334 -0.506217 0.0441204 1.04454 2.74656 30
95967 0.0248372 0.441184 0.0190118 13.396 -0.0829867 6.7757 -0.497671 0.0437559 1.04455 2.49382 30
96014 0.0190115 0.441184 0.0248374 13.3785 0.220714 6.5417 -0.513527 0.0441192 1.04455 2.74203 30
96020 0.0248371 0.441205 0.0248374 13.3158 -0.0155711 6.64498 -0.505224 0.0437497 1.04456 2.49695 30
96175 0.0190114 0.446828 0.0190116 13.6502 0.300999 6.81147 -0.471136 0.0448841 1.04721 2.59415 30
96181 0.0248366 0.446846 0.0190116 13.5768 0.0911498 6.90697 -0.466076 0.0444135 1.04722 2.37514 30
96235 0.0190114 0.446846 0.0248368 13.6156 0.366296 6.74236 -0.477967 0.0448284 1.04722 2.59663 30
96287 -0.027606 0.402125 -0.027606 0.339233 -0.607246 0.630319 -0.818458 0.0161689 1.02536 1.61827 30
96293 -0.0276764 0.441297 -0.0276768 13.8792 1.97286 6.35988 -0.382786 0.0465314 1.04461 4.02305 30
96297 -0.0276062 0.402123 -0.0217608 -0.584017 -0.369458 0.294229 -0.817348 0.0133801 1.02536 1.21451 30
96300 -0.0276792 0.441231 0.0190122 13.829 3.05894 6.42366 -0.477879 0.0504226 1.04457 4.60249 30
96302 -0.0276783 0.441264 -0.0218214 13.994 2.09494 6.26104 -0.400511 0.0478238 1.04459 4.18524 30
96304 0.0651229 0.403236 -0.0275907 10.6391 -0.578952 2.55228 -0.548856 0.0178645 1.02593 1.52806 30
96307 0.0248379 0.441251 -0.0276778 13.119 0.211566 7.93534 -0.410811 0.0449088 1.04458 2.21089 30
96309 0.0248281 0.402122 -0.0276062 10.3652 -0.821766 3.90098 -0.553025 0.0178225 1.02536 2.71649 30
96310 0.0656022 0.441664 -0.0276462 12.5243 0.368616 8.59206 -0.387848 0.0458464 1.04478 1.64673 30
96311 0.0651229 0.403235 -0.0217569 11.141 -0.801071 3.60038 -0.534136 0.0200265 1.02593 0.493363 30
96312 0.0248377 0.441217 -0.0218221 13.2676 -0.00277448 7.77173 -0.4231 0.0450831 1.04457 2.16665 30
96313 0.0248279 0.402119 0.0190065 3.02901 -0.338777 5.30309 -0.591472 0.0170124 1.02536 1.9305 30
96314 0.0655966 0.441626 0.0190124 13.0607 -0.881501 7.70062 -0.450832 0.0428431 1.04476 1.43773 30
96315 0.0248281 0.40212 -0.0217609 9.69398 -0.713905 4.85589 -0.525103 0.0180791 1.02536 1.91868 30
96316 0.0655998 0.441646 -0.0218 12.5926 0.0810424 8.55282 -0.39763 0.0458155 1.04477 1.58385 30
96317 0.0651226 0.403233 0.0190071 9.48709 -0.708612 6.79303 -0.560366 0.0225731 1.02593 0.320189 30
96332 -0.0276777 0.441251 0.0248379 13.7446 3.1049 6.53265 -0.48286 0.0503857 1.04458 4.67672 30
96336 -0.0276462 0.441664 0.0656022 13.1879 3.10363 6.9535 -0.426309 0.0500037 1.04478 3.01927 30
96338 0.0190065 0.402119 0.0248279 1.26358 -0.218761 4.17738 -0.621868 0.0150848 1.02536 1.39612 30
96339 -0.0218221 0.441217 0.0248377 13.7731 2.69306 6.48475 -0.503313 0.0490992 1.04457 4.54093 30
96340 0.0190114 0.441626 0.0655975 12.9233 0.798212 5.98403 -0.501856 0.0448764 1.04476 1.97019 30
96342 0.0190071 0.403233 0.0651226 -0.692594 0.92312 -0.0601916 -0.608255 0.00536239 1.02593 0.727451 30
96343 -0.0218001 0.441646 0.0655999 13.2464 2.8181 6.80255 -0.444491 0.0488229 1.04477 2.85468 30
96344 0.0651854 0.403948 0.0651849 3.75843 -0.469803 4.17867 -0.565877 0.0225173 1.02629 0.979777 30
96345 0.024828 0.40212 0.024828 2.26086 -0.285281 4.85229 -0.598706 0.016189 1.02536 1.52722 30
96346 0.0655975 0.441637 0.024838 13.0504 -0.897287 7.56239 -0.457009 0.0423817 1.04477 1.42899 30
96347 0.0248368 0.441637 0.0655988 12.8306 0.543879 5.94463 -0.503587 0.0450202 1.04477 1.89162 30
96348 0.0651227 0.403234 0.0248294 8.67723 -0.66918 6.60158 -0.556275 0.0231513 1.02593 1.18187 30
96349 0.0248293 0.403234 0.0651228 -0.365777 0.607391 0.65553 -0.601105 0.00685492 1.02593 0.650847 30
96350 0.0656149 0.44182 0.0656199 12.5315 -0.795447 6.38524 -0.491749 0.0446833 1.04485 1.53181 30
96354 -0.0217608 0.402123 -0.0276062 2.01315 -0.701863 2.0351 -0.785877 0.0172754 1.02536 1.89105 30
96357 0.0190122 0.441231 -0.0276793 13.2384 0.248528 7.78085 -0.414165 0.044763 1.04457 2.36094 30
96359 0.0190064 0.402121 -0.0276063 9.99014 -0.828984 4.28388 -0.558293 0.0177142 1.02536 2.36979 30
96360 -0.0218211 0.441264 -0.0276786 13.8945 1.59949 6.52183 -0.398524 0.0462177 1.04459 3.85468 30
96817 -0.0217609 0.402121 -0.0217609 0.692601 -0.516406 1.55152 -0.791876 0.0163584 1.02536 1.55732 30
96818 0.019012 0.441196 -0.0218232 13.389 0.0614793 7.61026 -0.42742 0.0450098 1.04456 2.35622 30
96819 0.0190065 0.402118 0.0190065 2.01986 -0.300798 4.74691 -0.619047 0.0162234 1.02536 1.6538 30
96820 -0.0218231 0.441196 0.019012 13.8602 2.63314 6.393 -0.498041 0.0492392 1.04456 4.42064 30
96821 0.0190065 0.402119 -0.021761 9.18709 -0.72201 5.09861 -0.538115 0.0180879 1.02536 2.01026 30
96822 -0.0218224 0.44123 -0.0218227 14.0143 1.6862 6.40454 -0.416461 0.0473677 1.04457 4.02732 30
97861 -0.0455588 0.418989 -0.0455598 13.7151 3.01969 5.40677 -0.534664 0.0449733 1.03382 10.6019 30
97862 -0.0276027 0.402162 -0.0455064 7.73918 0.457909 3.57713 -0.849025 0.0208584 1.02538 3.21516 30
97864 -0.0277085 0.418486 -0.0277088 12.6439 0.846661 5.24672 -0.688308 0.0380237 1.03358 6.13531 30
97865 -0.0454723 0.402198 -0.0454723 2.27737 1.40263 1.05388 -0.920167 0.0195889 1.0254 3.26992 30
97866 -0.0276955 0.418754 -0.0456014 13.6334 0.53799 7.14079 -0.577463 0.0429644 1.03371 7.70457 30
97867 -0.0456009 0.418754 -0.027696 13.2621 3.63681 4.80048 -0.643886 0.0435072 1.03371 10.5618 30
97868 -0.051585 0.419355 -0.0515866 13.6826 3.63063 5.25199 -0.410597 0.0477492 1.03401 9.99085 30
97875 -0.045528 0.419182 -0.051626 13.8189 2.6081 5.83926 -0.472728 0.0457787 1.03392 10.0054 30
97876 -0.0275992 0.402249 -0.0517331 9.74066 1.04898 3.30863 -0.864914 0.0287161 1.02543 8.4189 30
97880 -0.0454254 0.402284 -0.0516802 7.88317 2.40817 4.13525 -0.949617 0.0335582 1.02545 11.6908 30
97881 -0.0276883 0.41897 -0.0516762 13.4336 0.775852 7.69185 -0.530571 0.0452379 1.03382 8.46325 30
97882 -0.0516246 0.419182 -0.0455294 13.555 4.15135 5.03828 -0.462217 0.0478227 1.03392 10.9513 30
97888 -0.0516755 0.41897 -0.0276889 13.5036 4.89757 4.88928 -0.577594 0.0474485 1.03382 12.1676 30
97898 -0.0456095 0.418698 -0.00429495 11.6707 4.71894 4.96655 -0.672988 0.0416832 1.03368 7.61747 30
97900 -0.0277105 0.418455 -0.0218297 11.7709 1.17018 4.66455 -0.719884 0.040686 1.03356 5.5058 30
97902 -0.0456053 0.418728 -0.0218222 12.7883 4.10803 4.69074 -0.655421 0.0425421 1.0337 10.1696 30
97904 -0.0277125 0.41842 -0.0042964 8.56825 1.85011 2.97407 -0.759944 0.0484692 1.03354 3.72366 30
97905 -0.0516851 0.418918 0.00153419 12.062 5.9045 5.58 -0.596098 0.0456502 1.03379 9.89511 30
97911 -0.0516826 0.418929 0.0190111 11.3657 6.04982 6.22531 -0.604909 0.0440087 1.03379 9.29909 30
97912 -0.0516849 0.418919 -0.00429436 12.3395 5.82719 5.39646 -0.596467 0.0462294 1.03379 10.5188 30
97917 -0.0516805 0.418947 -0.0218184 13.179 5.34823 4.93288 -0.587456 0.0469594 1.0338 12.004 30
97919 -0.0456096 0.418696 0.00153393 11.3318 4.84409 5.07018 -0.672625 0.0414887 1.03368 6.8321 30
97924 -0.0277126 0.418418 0.0015331 7.65731 1.87111 2.56587 -0.754907 0.0497957 1.03354 3.31878 30
97925 -0.0456074 0.41871 0.0190105 10.4394 4.96062 5.59775 -0.668342 0.0419451 1.03369 5.53964 30
97926 0.0481419 0.418981 -0.0455581 11.5624 1.32443 9.13504 -0.533656 0.0402756 1.03382 5.53376 30
97927 0.0651146 0.403267 -0.0452469 8.09885 0.53427 1.07386 -0.571923 0.0137317 1.02595 6.07638 30
97928 0.0480976 0.402164 -0.0276027 11.0199 -0.801139 2.41703 -0.554665 0.0178721 1.02538 2.63638 30
97929 0.0656017 0.419619 -0.0276732 11.5552 -0.237027 8.68405 -0.499934 0.0373656 1.03414 2.28904 30
97930 0.0480992 0.4022 -0.0454757 9.71858 -0.245097 -0.138928 -0.702427 0.0142926 1.0254 3.49577 30
97931 0.0656302 0.419765 -0.0454452 11.3876 1.91176 8.88707 -0.47094 0.0402757 1.03421 4.1561 30
97932 0.0481328 0.418748 -0.027695 12.0474 -0.760555 8.48582 -0.522333 0.0391931 1.03371 2.29324 30
97933 0.0423183 0.419066 -0.0516502 11.7288 2.23591 9.16121 -0.514291 0.0441343 1.03386 7.28648 30
97936 0.0248287 0.402247 -0.0517348 10.3912 1.28864 -0.560403 -0.829858 0.0204022 1.02543 5.9213 30
97938 0.0422932 0.40226 -0.0517193 9.69364 1.29731 -0.800116 -0.743547 0.0187536 1.02543 5.75192 30
97939 0.0248364 0.418942 -0.0516799 11.8414 1.85764 9.27671 -0.54689 0.0440312 1.0338 8.18419 30
97940 0.0481486 0.419172 -0.0516242 11.6936 2.37887 9.06439 -0.497313 0.0440502 1.03391 6.7176 30
97941 0.0651142 0.403327 -0.0512675 7.70206 2.09651 0.770598 -0.528005 0.017651 1.02598 6.27275 30
97945 0.0481039 0.402285 -0.0516887 9.30999 1.25485 -0.819624 -0.700292 0.0181474 1.02545 5.49809 30
97946 0.065652 0.419873 -0.0514672 11.6482 2.75374 8.58861 -0.433647 0.0441 1.03426 4.37609 30
97947 0.0423142 0.418863 -0.0455793 11.6408 1.16448 9.16402 -0.548311 0.0404406 1.03376 5.63042 30
97948 0.0422881 0.402138 -0.0276047 10.9759 -0.840473 2.81099 -0.555868 0.0179494 1.02537 2.91594 30
97949 0.0248285 0.40216 -0.0455076 10.8091 -0.530122 0.465644 -0.796 0.0173936 1.02538 4.88988 30
97950 0.0248341 0.418452 -0.0277102 12.6762 -1.24135 8.36692 -0.547038 0.0419151 1.03356 2.35544 30
97951 0.0422903 0.402174 -0.0454964 10.0979 -0.33307 -0.0355737 -0.739734 0.0149973 1.02539 3.83171 30
97952 0.0248355 0.418724 -0.0456048 11.9194 0.667877 9.13226 -0.569092 0.0416899 1.03369 6.18366 30
97953 0.0423084 0.418614 -0.027701 12.222 -0.908209 8.45835 -0.527627 0.0401611 1.03364 2.27813 30
97954 0.0481303 0.418693 -0.00429471 12.4929 -1.39456 8.04701 -0.50938 0.0387572 1.03368 0.783768 30
97955 0.0480977 0.402162 -0.0217595 10.9642 -0.786155 3.56369 -0.522316 0.0184618 1.02538 1.86311 30
97956 0.0655979 0.419601 -0.0218104 11.8398 -0.680284 8.54408 -0.498677 0.0382675 1.03413 1.79145 30
97957 0.0651224 0.403233 -0.0042822 11.3168 -0.92058 6.07467 -0.538655 0.0220733 1.02593 1.40339 30
97958 0.0481317 0.418723 -0.0218214 12.3007 -1.11341 8.34314 -0.514393 0.0402626 1.03369 1.62643 30
97959 0.0480976 0.40216 -0.00428184 9.58226 -0.649567 5.8233 -0.473084 0.0187807 1.02538 0 30
97960 0.0655931 0.419578 -0.00429343 12.4805 -1.37936 8.27905 -0.503803 0.0399241 1.03412 1.13061 30
97961 0.0423065 0.418552 0.00153363 12.1545 -1.38648 7.71679 -0.521069 0.037914 1.03361 1.13161 30
97962 0.0248335 0.418399 0.0190093 6.67353 -1.06791 3.57385 -0.605005 0.0603662 1.03353 1.73286 30
97963 0.024828 0.402118 0.00154053 5.78641 -0.500429 6.03545 -0.553516 0.0186027 1.02536 2.45134 30
