cellID X_coor Y_coor Z_coor UMean_X UMean_Y UMean_Z CpMean It Uin gradp Angle
34550 0.0248365 0.446864 0.0248368 13.8027 0.925073 3.10483 -0.507566 0.0482563 1.04836 2.77934 15
95962 0.0190115 0.441162 0.0190117 12.6239 1.09482 2.88831 -0.559112 0.054355 1.04567 2.96095 15
95967 0.0248372 0.441184 0.0190118 12.3175 0.818894 2.7863 -0.550815 0.0565949 1.04568 2.67366 15
96014 0.0190115 0.441184 0.0248374 12.6777 0.999854 2.98195 -0.555078 0.0534497 1.04568 2.97953 15
96020 0.0248371 0.441205 0.0248374 12.3644 0.73689 2.86307 -0.546253 0.0556546 1.04569 2.67809 15
96175 0.0190114 0.446828 0.0190116 13.984 1.22503 3.11565 -0.515144 0.0482451 1.04834 3.0541 15
96181 0.0248366 0.446846 0.0190116 13.8158 0.965 3.06356 -0.510806 0.0485159 1.04835 2.83265 15
96235 0.0190114 0.446846 0.0248368 13.9744 1.1756 3.17003 -0.512119 0.0479881 1.04835 3.01781 15
96293 -0.0276764 0.441297 -0.0276768 14.8205 3.33682 2.08562 -0.412571 0.0518172 1.04573 4.50149 15
96300 -0.0276792 0.441231 0.0190122 14.4014 3.93161 3.47481 -0.475983 0.0526872 1.0457 4.84315 15
96302 -0.0276783 0.441264 -0.0218214 14.77 3.51675 2.19134 -0.425223 0.0521481 1.04572 4.53427 15
96304 0.0651229 0.403236 -0.0275907 6.89286 -0.396574 3.62554 -0.453699 0.0179796 1.02704 1.30546 15
96307 0.0248379 0.441251 -0.0276778 14.3708 0.405169 2.90394 -0.483903 0.0441241 1.04571 2.8878 15
96309 0.0248281 0.402122 -0.0276062 2.26281 -0.475703 2.64053 -0.611674 0.0138778 1.02647 1.81375 15
96310 0.0656022 0.441664 -0.0276462 13.911 -0.41471 3.70321 -0.406874 0.0412912 1.04591 1.57752 15
96311 0.0651229 0.403235 -0.0217569 5.79684 -0.368321 3.61346 -0.453214 0.0192757 1.02704 1.42845 15
96312 0.0248377 0.441217 -0.0218221 14.2225 0.471308 2.77298 -0.50033 0.0447463 1.04569 2.93725 15
96314 0.0655966 0.441626 0.0190124 11.2812 -0.37656 2.44683 -0.455563 0.0626953 1.04589 1.38063 15
