cellID X_coor Y_coor Z_coor UMean_X UMean_Y UMean_Z CpMean It Uin gradp Angle
97932 0.0481328 0.418748 -0.027695 1.57596 0.0160877 0.710719 -0.512827 0.0459582 1.03456 1.15438 0
97933 0.0423183 0.419066 -0.0516502 6.25134 -0.320041 0.998858 -0.505751 0.0496506 1.03472 1.14844 0
97939 0.0248364 0.418942 -0.0516799 6.40354 -0.127129 0.943667 -0.5443 0.0484867 1.03466 1.13298 0
97940 0.0481486 0.419172 -0.0516242 6.2321 -0.370643 0.993211 -0.490383 0.0502131 1.03477 1.15434 0
97946 0.065652 0.419873 -0.0514672 6.39748 -0.411834 0.942609 -0.440108 0.0520164 1.03512 1.0065 0
97947 0.0423142 0.418863 -0.0455793 5.31632 -0.299439 0.924377 -0.512364 0.0484824 1.03462 1.12734 0
97952 0.0248355 0.418724 -0.0456048 5.22508 -0.152302 0.816939 -0.553919 0.0477296 1.03455 1.09329 0
97953 0.0423084 0.418614 -0.027701 1.46886 0.106035 0.669138 -0.529304 0.0439773 1.0345 1.10672 0
97956 0.0655979 0.419601 -0.0218104 0.992957 0.177758 0.67658 -0.458228 0.0492872 1.03499 1.18647 0
97958 0.0481317 0.418723 -0.0218214 0.453793 0.124257 0.599737 -0.515119 0.0443985 1.03455 1.14342 0
97960 0.0655931 0.419578 -0.00429343 -0.616064 0.835403 0.145086 -0.454754 0.0335373 1.03497 1.07451 0
97978 0.0655943 0.419587 0.0190114 0.725395 0.250515 -0.658349 -0.458552 0.0477698 1.03498 1.37726 0
97980 0.0655927 0.419577 0.00153468 -0.649481 0.85736 -0.0966052 -0.454612 0.0328933 1.03497 1.14912 0
97981 0.0481304 0.418705 0.0190099 0.149535 0.163838 -0.580933 -0.515611 0.0434996 1.03454 1.19733 0
98018 -0.0455581 0.418981 0.0481419 12.3748 4.77876 2.50688 -0.563166 0.0454182 1.03468 8.27802 0
98021 -0.0276732 0.419619 0.0656017 12.3739 2.68592 1.27038 -0.514296 0.0400378 1.03499 4.32174 0
98023 -0.027695 0.418749 0.0481329 8.37238 1.79508 1.97859 -0.627943 0.0474863 1.03456 4.02854 0
98024 -0.0454452 0.419765 0.0656302 13.6035 4.13098 2.49897 -0.427468 0.0509168 1.03507 7.12985 0
98025 -0.0516502 0.419066 0.0423183 12.8152 6.00401 2.2928 -0.514622 0.0525486 1.03472 10.9099 0
98031 -0.0516799 0.418942 0.0248364 12.1574 6.46716 1.58281 -0.511996 0.0498448 1.03466 9.13261 0
98032 -0.0455793 0.418863 0.0423141 11.9745 5.00819 2.31278 -0.585076 0.0450597 1.03462 7.78303 0
98037 -0.0456048 0.418724 0.0248355 10.7639 5.4448 1.63708 -0.583515 0.0445568 1.03455 6.03136 0
98038 -0.027701 0.418614 0.0423084 6.94002 1.65457 2.35744 -0.6422 0.0494303 1.0345 3.39751 0
98039 -0.0516243 0.419172 0.0481486 13.0546 5.74787 2.5693 -0.499477 0.0532238 1.03477 10.8624 0
98045 -0.0514671 0.419873 0.065652 13.6106 4.60983 2.83166 -0.36788 0.0552464 1.03512 7.45822 0
98046 -0.00429478 0.418693 0.0481304 5.65479 0.0408818 0.229954 -0.607639 0.0505903 1.03454 1.88929 0
98049 -0.0218104 0.419601 0.065598 11.797 2.27142 0.853189 -0.522548 0.0388136 1.03499 3.53941 0
98051 -0.0218214 0.418723 0.0481317 7.0957 1.04313 1.68759 -0.623007 0.0500581 1.03455 3.17888 0
98052 -0.00429358 0.419578 0.0655932 10.0448 1.38208 -0.181087 -0.535988 0.0410729 1.03497 2.08823 0
98059 0.0190093 0.418568 0.0423069 4.4845 -0.107111 -0.658231 -0.572935 0.0471109 1.03448 1.14125 0
98067 0.00153387 0.418691 0.0481303 5.65615 -0.0382722 -0.163067 -0.597103 0.0500061 1.03454 1.61999 0
98070 0.0190107 0.419587 0.065595 8.11115 0.588879 -0.86445 -0.529651 0.0493932 1.03498 1.76892 0
98072 0.00153448 0.419577 0.0655929 9.48308 1.15912 -0.420733 -0.537397 0.04292 1.03497 1.9186 0
98073 0.0190096 0.418705 0.0481307 5.81903 -0.126663 -0.841844 -0.561168 0.0482416 1.03454 1.22847 0
98074 0.0481366 0.418977 0.0481378 5.85216 -0.379756 -0.997614 -0.492829 0.0494063 1.03468 1.32716 0
98075 0.0651208 0.40327 0.0481054 0.0794187 -0.0278908 -0.707488 -0.441248 0.0166253 1.0268 1.70933 0
98077 0.0656919 0.420149 0.0656961 7.59375 -0.147589 -1.0789 -0.432391 0.0579295 1.03526 1.13872 0
98079 0.0656232 0.419756 0.0481555 6.05429 -0.416678 -0.944711 -0.441619 0.0516551 1.03506 1.22164 0
98080 0.0481531 0.419756 0.0656255 7.37296 -0.00658535 -1.11383 -0.478136 0.0566311 1.03506 1.49915 0
98081 0.0423087 0.418733 0.0423094 4.81056 -0.269759 -0.924879 -0.515465 0.047735 1.03456 1.29504 0
98086 0.0423068 0.418584 0.0248342 1.08407 0.151771 -0.654604 -0.530554 0.0432341 1.03448 1.13438 0
98087 0.0248338 0.418584 0.0423072 4.60178 -0.136292 -0.784434 -0.559203 0.0469166 1.03448 1.15705 0
98088 0.048134 0.418859 0.0423112 4.85861 -0.315979 -0.934037 -0.499015 0.0484557 1.03462 1.35955 0
98089 0.0651218 0.403248 0.0422953 -0.0393363 0.0119973 -0.906731 -0.442415 0.0156662 1.02679 1.77408 0
98091 0.0655963 0.419597 0.0248367 1.66968 0.0366642 -0.758968 -0.457666 0.0511915 1.03498 1.37508 0
98093 0.0481308 0.41872 0.0248345 1.2002 0.0572542 -0.697412 -0.514045 0.0452712 1.03455 1.24522 0
98094 0.0656116 0.419686 0.0423216 5.11778 -0.357772 -0.905551 -0.445826 0.051915 1.03503 1.28131 0
98095 0.0423102 0.418859 0.0481349 5.84848 -0.334239 -1.00212 -0.508679 0.0488053 1.03462 1.28252 0
98098 0.0248359 0.419597 0.0655972 7.80969 0.432809 -0.956949 -0.522639 0.0514195 1.03498 1.71564 0
98100 0.024834 0.41872 0.0481313 5.84785 -0.171313 -0.928064 -0.549423 0.0480634 1.03455 1.1845 0
98101 0.0423197 0.419686 0.0656135 7.38733 0.0788077 -1.10149 -0.491627 0.0557745 1.03503 1.5617 0
98115 -0.0218218 0.418728 -0.0456057 6.34971 0.944955 -1.86776 -0.63068 0.0509309 1.03455 2.99109 0
98122 0.0190111 0.418929 -0.0516826 6.45987 -0.0635814 0.87797 -0.554544 0.0484251 1.03465 1.17863 0
98123 0.00153429 0.418918 -0.0516853 6.64026 0.135492 0.276636 -0.582834 0.0492143 1.03465 1.84413 0
98129 -0.0218179 0.418947 -0.0516809 8.3966 1.32484 -1.47407 -0.600704 0.0480681 1.03466 3.35643 0
98130 -0.0042942 0.418919 -0.0516852 6.77774 0.264423 -0.102891 -0.590779 0.0496111 1.03465 2.12118 0
98136 0.0190106 0.41871 -0.0456074 5.158 -0.115798 0.715559 -0.566459 0.0479681 1.03455 1.18935 0
99261 -0.064523 0.409757 -0.0645242 12.0038 4.82988 -4.17218 -0.297378 0.0604648 1.03008 34.0407 0
99267 -0.0642376 0.403915 -0.0642379 11.6222 7.98943 -4.2197 -1.11368 0.0614361 1.02713 21.9976 0
99275 -0.0646979 0.408876 -0.0334825 10.0533 7.87162 -2.20805 -0.331243 0.0585012 1.02964 45.3482 0
99276 -0.0645417 0.403249 -0.0275904 9.17691 11.2621 -1.8468 -1.35753 0.0548735 1.02679 5.14141 0
99280 -0.064539 0.403252 -0.0334382 9.35239 11.2228 -2.24554 -1.39936 0.055388 1.02679 5.18471 0
99281 -0.0647015 0.408863 -0.0276186 9.90814 7.97437 -1.82205 -0.321763 0.0581593 1.02963 44.1787 0
99298 -0.0647028 0.408849 0.0131855 9.56936 8.22384 0.939835 -0.296739 0.057091 1.02963 41.7601 0
99301 -0.0645422 0.403245 0.0190072 8.97296 11.2802 1.30984 -1.30408 0.0543321 1.02679 5.61049 0
99303 -0.0645422 0.403245 0.0131851 8.80112 11.3739 0.907867 -1.26771 0.0539218 1.02679 4.7096 0
99304 -0.0647026 0.408851 0.0190089 9.73606 8.09307 1.31706 -0.312365 0.0575997 1.02963 42.8546 0
99305 -0.0647031 0.408853 -0.01594 9.60772 8.18868 -1.07154 -0.298941 0.0571935 1.02963 41.9551 0
99306 -0.0645424 0.403247 -0.0217569 9.02225 11.2575 -1.45716 -1.31126 0.0544245 1.02679 5.65149 0
99310 -0.0647027 0.408856 -0.0217742 9.77949 8.05932 -1.45498 -0.313037 0.0577137 1.02963 42.8192 0
99311 -0.0645424 0.403246 -0.0159298 8.8424 11.3431 -1.04482 -1.27282 0.0540358 1.02679 4.29364 0
99313 -0.0276063 0.402121 0.0131847 -2.3388 0.195252 -0.495197 -0.63266 0.00268489 1.02622 0.640934 0
99322 0.0656425 0.408853 -0.027618 -0.0417786 -0.0175671 1.28825 -0.448713 0.0281775 1.02963 1.42001 0
99323 0.0656441 0.408866 -0.033482 0.674509 -0.204731 1.25906 -0.444956 0.033074 1.02963 1.44812 0
99333 0.0599249 0.40931 -0.0646032 1.93265 0.0179143 1.16101 -0.46574 0.0429006 1.02986 1.42749 0
99334 0.0652543 0.403924 -0.0642087 0.472193 0.317404 0.675281 -0.447183 0.0229082 1.02713 1.49307 0
99337 0.0659234 0.409779 -0.0644954 2.53934 -0.0646809 1.10157 -0.441363 0.0472182 1.03009 1.36504 0
99339 0.0596025 0.403567 -0.0644255 -0.0205544 0.288394 0.870317 -0.471532 0.0213023 1.02695 1.42827 0
99349 0.0656411 0.408846 -0.0217737 -0.680556 0.259862 1.21984 -0.452175 0.0209751 1.02962 1.46415 0
99352 0.06564 0.408842 -0.0159396 -1.1194 0.642118 0.97094 -0.454782 0.0134132 1.02962 1.64534 0
99371 0.0656397 0.408841 0.0190087 -0.823075 0.356628 -1.20964 -0.453119 0.0186538 1.02962 1.60732 0
99373 0.0656391 0.408839 0.0131854 -1.19133 0.747679 -0.908013 -0.455564 0.0118307 1.02962 1.69633 0
99418 -0.064701 0.40886 0.0306575 9.97539 7.94976 2.03723 -0.327538 0.0583746 1.02963 44.735 0
99420 -0.0645422 0.403246 0.0248295 9.13184 11.2767 1.69578 -1.35057 0.0546967 1.02679 4.87602 0
99423 -0.0645418 0.403248 0.0306517 9.27956 11.2906 2.07467 -1.39482 0.0551639 1.02679 4.43481 0
99424 -0.0647022 0.408854 0.0248326 9.87483 8.00558 1.66539 -0.321431 0.0580075 1.02963 44.2883 0
99432 -0.0646032 0.40931 0.0599249 11.3794 6.17289 4.14274 -0.3068 0.0604358 1.02986 35.5582 0
99433 -0.0642087 0.403924 0.0652543 11.784 7.6776 4.11246 -1.06167 0.0614024 1.02713 23.4852 0
99436 -0.0644954 0.409779 0.0659234 12.1639 4.66033 4.18535 -0.275847 0.0603197 1.03009 31.6612 0
99438 -0.0644255 0.403567 0.0596025 10.8109 9.21872 4.22185 -1.26423 0.0597707 1.02695 12.6099 0
99467 0.0597892 0.408554 0.059789 1.42843 -0.189775 -1.04305 -0.465564 0.0380584 1.02948 1.63786 0
99468 0.0651521 0.403556 0.0595149 0.164059 0.125391 -0.493728 -0.444738 0.0182557 1.02695 1.70127 0
99469 0.0595163 0.403555 0.0651509 0.0462652 0.310268 -0.896517 -0.471699 0.0220437 1.02695 1.67801 0
99470 0.0658432 0.409796 0.0658438 2.59772 0.0107131 -1.13069 -0.441383 0.047856 1.0301 1.42951 0
99471 0.0657256 0.409324 0.0598418 2.12275 -0.255652 -1.01847 -0.440595 0.0428548 1.02987 1.49721 0
99472 0.0598419 0.409324 0.0657258 1.98121 0.0864722 -1.18985 -0.465356 0.0432339 1.02987 1.61112 0
99484 0.0656406 0.408844 0.024832 -0.232157 0.0536482 -1.31742 -0.449903 0.0262537 1.02962 1.63731 0
99485 0.0656419 0.408851 0.0306563 0.47128 -0.150496 -1.30881 -0.446042 0.031742 1.02963 1.69338 0
100493 -0.021761 0.402119 -0.00428196 -3.58845 0.127893 0.232973 -0.616145 0.0026296 1.02621 0.400427 0
100512 -0.0217609 0.402119 0.00154053 -3.67376 0.120984 -0.180021 -0.615589 0.00259242 1.02621 0.259576 0
103851 -0.0577038 0.409321 -0.0645809 10.8379 4.82608 -4.05765 -0.33932 0.0536914 1.02986 10.6989 0
103857 -0.0514192 0.409059 -0.0646327 10.1476 3.84883 -3.2729 -0.463547 0.042681 1.02973 14.2668 0
103858 -0.0645799 0.409321 -0.0577045 11.1817 6.2863 -3.97703 -0.325919 0.0603417 1.02986 38.4553 0
103861 -0.0644678 0.403335 -0.0512658 10.0164 10.5163 -3.59833 -1.38253 0.0573394 1.02683 5.0499 0
103863 -0.0643833 0.403537 -0.0574326 10.5305 9.6086 -4.04889 -1.29344 0.0592573 1.02694 9.76323 0
103864 -0.0646317 0.409059 -0.0514196 10.6907 7.24016 -3.59201 -0.348866 0.0594557 1.02973 44.0213 0
103865 -0.0578938 0.408551 -0.0578943 9.16269 5.67947 -4.2288 -0.400914 0.0477256 1.02948 11.7849 0
103871 -0.0580198 0.408156 -0.0515611 8.40637 5.15831 -3.39753 -0.46966 0.043673 1.02928 19.5648 0
103900 -0.0646888 0.408899 -0.0393823 10.0439 7.96606 -2.62099 -0.333784 0.0588845 1.02965 45.697 0
103903 -0.0645114 0.403277 -0.0452433 9.69845 11.1612 -3.05428 -1.43003 0.0566865 1.0268 1.16309 0
103905 -0.0645312 0.403259 -0.0393145 9.45738 11.4186 -2.63642 -1.44038 0.0560224 1.0268 0 0
103906 -0.0646687 0.408947 -0.0453456 10.2896 7.73984 -3.03854 -0.341934 0.0593023 1.02968 45.039 0
103907 -0.0581246 0.407945 -0.0394165 7.27748 5.27851 -2.58681 -0.457974 0.0413467 1.02917 19.3303 0
103913 -0.0580902 0.408004 -0.0454228 7.73375 5.47712 -3.0714 -0.455336 0.0421946 1.0292 17.902 0
103949 -0.0276063 0.402121 -0.0101051 -2.85318 0.147673 0.28363 -0.625827 0.00250262 1.02622 0.586372 0
103950 -0.0334866 0.402125 -0.00428185 -3.48443 0.0435248 0.000220012 -0.620076 0.00237 1.02622 0.438083 0
103962 -0.0647028 0.408848 0.00736234 9.43658 8.32595 0.552751 -0.283492 0.0568036 1.02963 41.1702 0
103965 -0.0645423 0.403244 0.00154034 8.62749 11.4201 0.144616 -1.21606 0.0534201 1.02679 3.15061 0
103967 -0.0645423 0.403244 0.00736271 8.68106 11.4981 0.528452 -1.24547 0.0537036 1.02679 2.86688 0
103968 -0.0647029 0.408848 0.00153886 9.4036 8.3391 0.144606 -0.27646 0.0565457 1.02963 40.2752 0
103990 -0.0647031 0.408851 -0.0101114 9.45067 8.31521 -0.68762 -0.284995 0.056924 1.02963 41.7166 0
103993 -0.0645423 0.403245 -0.00428234 8.65308 11.3694 -0.288332 -1.21768 0.0534548 1.02679 4.67216 0
103995 -0.0645423 0.403245 -0.0101054 8.70214 11.5072 -0.666935 -1.25273 0.053837 1.02679 2.01172 0
103996 -0.064703 0.408849 -0.00428554 9.44025 8.30234 -0.293745 -0.279142 0.0565229 1.02963 40.3552 0
104005 -0.0276063 0.402121 0.00736273 -2.98206 0.132737 -0.239262 -0.62466 0.00247679 1.02622 0.495252 0
104006 -0.0334866 0.402125 0.00154056 -3.55258 0.0376629 -0.00862685 -0.61921 0.00236174 1.02622 0.151948 0
104009 -0.0334866 0.402125 0.00736269 -2.90607 0.06476 -0.0402564 -0.626524 0.00235685 1.02622 0.579657 0
104028 0.0656502 0.408941 -0.0453451 1.77158 -0.426107 1.08119 -0.439686 0.0379545 1.02967 1.44435 0
104029 0.065646 0.40889 -0.0393818 1.31924 -0.342191 1.17932 -0.441819 0.0358658 1.02965 1.46061 0
104052 0.0423147 0.408892 -0.0646907 0.968352 0.26566 1.28748 -0.518402 0.0345364 1.02965 1.28975 0
104067 0.0598152 0.408549 -0.0579042 1.4705 -0.278523 1.01609 -0.465521 0.0385043 1.02948 1.41089 0
104070 0.0656681 0.409057 -0.0514181 2.0001 -0.447152 1.00061 -0.439277 0.0400865 1.02973 1.41794 0
104071 0.0657379 0.409327 -0.0576971 2.12857 -0.339736 0.994294 -0.440437 0.0424931 1.02987 1.39739 0
104073 0.0597683 0.408156 -0.0515637 1.38817 -0.439856 1.02817 -0.464712 0.0371699 1.02928 1.42442 0
104074 0.05401 0.40905 -0.0646439 1.59407 0.0933812 1.20298 -0.485119 0.0395564 1.02973 1.31448 0
104080 0.0481531 0.408939 -0.0646741 1.25995 0.178422 1.2474 -0.502734 0.036953 1.02967 1.29612 0
104329 -0.0646981 0.408871 0.0364841 10.0545 7.92553 2.42951 -0.334322 0.0587808 1.02964 45.3253 0
104332 -0.0645354 0.403258 0.0422958 9.58447 11.3609 2.88034 -1.45741 0.0563303 1.0268 0 0
104334 -0.0645402 0.403251 0.0364741 9.43523 11.3158 2.46702 -1.43269 0.0557887 1.02679 3.01941 0
104335 -0.0646907 0.408892 0.0423147 10.14 7.91867 2.84748 -0.337054 0.0590912 1.02965 45.0437 0
104336 -0.0581401 0.407915 0.0364816 7.10449 5.15838 2.40872 -0.464182 0.0406253 1.02916 18.6788 0
104342 -0.0581267 0.407941 0.0423099 7.49767 5.31343 2.82686 -0.458825 0.0416972 1.02917 18.7941 0
104364 -0.0579041 0.408549 0.0598152 9.54016 5.42996 4.23922 -0.387022 0.0486352 1.02948 11.3993 0
104367 -0.051418 0.409057 0.065668 10.4862 3.75203 3.22524 -0.458083 0.0432398 1.02973 13.1272 0
104368 -0.0576971 0.409327 0.0657379 11.1534 4.52794 4.06237 -0.335929 0.0538283 1.02987 10.1501 0
104371 -0.0646439 0.40905 0.05401 10.8465 7.09734 3.77913 -0.340263 0.0596932 1.02973 42.0612 0
104374 -0.0645223 0.403278 0.0481127 9.86943 10.9782 3.31728 -1.43739 0.0570291 1.02681 2.58486 0
104376 -0.0644905 0.403345 0.0539027 10.2284 10.2603 3.84946 -1.37765 0.0578409 1.02684 7.30925 0
