ArcLen,ML,LES,RANS
0.0213399999999997,-0.286454830194778,-0.286454830194778,-0.233587803883241
0.0711599999999996,-0.197568934071093,-0.197568934071093,-0.165070069184181
0.18556,0.71476493539475,0.734822960836675,0.605342342411673
0.24277,1.20036477532457,1.18213370477825,0.929861554681668
0.2998,1.34458185512109,1.35118475023664,1.05056832611222
0.35662,1.34542838013591,1.35272388662721,1.09043965430997
0.41324,1.32845940142986,1.33301524514595,1.10446888251002
0.46965,1.31576152620764,1.31890906012636,1.10553858230147
0.52589,1.30133981822799,1.3029866941659,1.09905112241521
0.58197,1.28868042141554,1.28918833642443,1.09282531571535
0.63792,1.28080773877777,1.28113095741979,1.088638864733
0.69377,1.27281962091071,1.27272727272727,1.08569141854505
0.74953,1.26726333854074,1.26717099035731,1.08345967077873
0.80524,1.26116835843408,1.26075279160863,1.08180509915886
0.8609,1.25785921519435,1.25762064905382,1.08064305118398
0.91652,1.25603533857153,1.25614307811887,1.07991196139846
0.97211,1.25437307126971,1.25467320286587,1.0796272211662
