ArcLen,ML,LES,RANS
0.0213399999999997,0.011736628743298,0.011736628743298,-0.118230140231848
0.0711599999999996,-0.0507451595781506,-0.0507451595781506,-0.148586527588674
0.18556,-0.0439934922576327,-0.217506288509912,0.120884776036739
0.24277,-0.0737549519611689,-0.183536027200209,0.186786821437088
0.2998,-0.0867114362418172,-0.146941130316387,0.208300063846645
0.35662,-0.089300686928361,-0.129112531634859,0.216547050361926
0.41324,-0.092356095046885,-0.109848537296441,0.221983246024969
0.46965,-0.0915591658397372,-0.0983646028046369,0.226883283717567
0.52589,-0.0941930322540943,-0.0859198916914746,0.231961015084731
0.58197,-0.0930945622658636,-0.075483580642928,0.236404895422272
0.63792,-0.0866098969992077,-0.0689139147224209,0.240186462972792
0.69377,-0.0799136916437819,-0.061337548750375,0.243535719505535
0.74953,-0.0773905953122716,-0.0564700497696136,0.246581127547135
0.80524,-0.0755367348979608,-0.049981230624851,0.249376533665644
0.8609,-0.0734154108877761,-0.0459592766098201,0.251950399618459
0.91652,-0.0711934707190055,-0.0426813283179101,0.254336571819783
0.97211,-0.068849144993423,-0.0396599973845953,0.256502742328787
