ArcLen,ML,LES
0.18556,31.59045,31.7546
0.24277,16.4493,17.0156
0.2998,14.1558,13.9927
0.35662,13.4728,13.3766
0.41324,12.546,12.3354
0.46965,11.8694,11.728
0.52589,11.31105,11.2378
0.58197,10.9781,10.9067
0.63792,10.79145,10.7586
0.69377,10.62975,10.5651
0.74953,10.5024,10.4273
0.80524,10.4137,10.294
0.8609,10.3678,10.2248
0.91652,10.31325,10.1451
0.97211,10.2489,10.0572
