ArcLen,ML,LES,RANS
0.0213399999999997,0.0241359548919607,0.0241359548919607,0.00172786713743952
0.0711599999999996,0.0565118962453557,0.0565118962453557,0.0110602389249148
0.18556,0.23900130001,0.236527204055416,0.308541604166186
0.24277,0.379879922153247,0.384006800052308,0.400863852798868
0.2998,0.414862652789637,0.418448603450796,0.404143878029831
0.35662,0.392324248648066,0.385996046123432,0.383092177632136
0.41324,0.348960222770944,0.334224109416226,0.356736590281464
0.46965,0.314860575850583,0.300416157047362,0.326944822652482
0.52589,0.27430895622274,0.261592781482934,0.295190732236402
0.58197,0.240016153970415,0.228338679528304,0.267369748998069
0.63792,0.21499403841568,0.206495434580266,0.243810337002592
0.69377,0.189898383833722,0.180842929560997,0.223401718474757
0.74953,0.172887329902538,0.164767421287856,0.205459272763637
0.80524,0.152957099669997,0.145408810837006,0.189598381526012
0.8609,0.138619989384534,0.132866406664667,0.175525965584351
0.91652,0.122191555319656,0.1161232009477,0.16296433049485
0.97211,0.110155231963323,0.1044461880476,0.151302702328479
