ArcLen,ML,LES
0.24277,38.27604,36.828
0.2998,18.92204,17.8319
0.35662,13.74974,13.2503
0.41324,12.011976,11.6409
0.46965,11.632528,11.3524
0.52589,11.492704,11.2396
0.58197,11.62606,11.41
0.63792,11.70978,11.5152
0.69377,11.79738,11.625
0.74953,11.867852,11.711
0.80524,11.929708,11.7826
0.8609,11.947524,11.8011
0.91652,11.929948,11.7784
0.97211,11.8887,11.7297
