ArcLen,ML,LES
0.18556,31.84449295,31.7546
0.24277,16.2997014,17.0156
0.2998,13.73754245,13.9927
0.35662,13.15420105,13.3766
0.41324,12.2443349,12.3354
0.46965,11.66960115,11.728
0.52589,11.19332335,11.2378
0.58197,10.8799334,10.9067
0.63792,10.7305503,10.7586
0.69377,10.56678325,10.5651
0.74953,10.4460844,10.4273
0.80524,10.33855685,10.294
0.8609,10.281599,10.2248
0.91652,10.2158088,10.1451
0.97211,10.143256,10.0572
