ArcLen,ML,LES,RANS
0.0213399999999997,-0.286331433318718,-0.286331433318718,-0.233487180670621
0.0711599999999996,-0.197483826798668,-0.197483826798668,-0.164998961530473
0.18556,0.7049883460642,0.734506419280148,0.605081577550597
0.24277,1.1625474042108,1.18162447403442,0.929460995853814
0.2998,1.32942099554612,1.35060269694382,1.05011577012131
0.35662,1.34953499642305,1.35214117031669,1.08996992284556
0.41324,1.34202263094331,1.33244101877707,1.10399310763929
0.46965,1.33157485826814,1.31834091031469,1.10506234663344
0.52589,1.31707166978208,1.30242540327233,1.09857768136678
0.58197,1.30421772475173,1.28863298948453,1.09235455657351
0.63792,1.2938468757452,1.28057908137755,1.0881699089993
0.69377,1.28319756305818,1.27217901676167,1.08522373249025
0.74953,1.27516980899853,1.2666251278856,1.08299294609959
0.80524,1.26696974592112,1.26020969392072,1.08133908722375
0.8609,1.26091585319887,1.25707890060693,1.08017753982723
0.91652,1.25635581812168,1.25560196616897,1.07944676497512
0.97211,1.25215117039362,1.25413272409788,1.07916214740113
