ArcLen,ML,LES,RANS
0.0213399999999997,0.0241359548919607,0.0241359548919607,0.00172785517527321
0.0711599999999996,0.0565118962453557,0.0565118962453557,0.011060162353971
0.18556,0.23926288663759,0.236527204055416,0.308539468107283
0.24277,0.388289417610905,0.384006800052308,0.400861077585444
0.2998,0.419462272786714,0.418448603450796,0.404141080108523
0.35662,0.386728574835191,0.385996046123432,0.383089525453481
0.41324,0.336061662012785,0.334224109416226,0.356734120564708
0.46965,0.302678297525366,0.300416157047362,0.326942559186584
0.52589,0.263910153155024,0.261592781482934,0.295188688606684
0.58197,0.230273863645105,0.228338679528304,0.267367897975306
0.63792,0.207506765436657,0.206495434580266,0.243808649083576
0.69377,0.181289425303272,0.180842929560997,0.223400171846286
0.74953,0.164860898929992,0.164767421287856,0.205457850352193
0.80524,0.145424534034877,0.145408810837006,0.189597068920822
0.8609,0.132632712559327,0.132866406664667,0.175524750403654
0.91652,0.115890276079047,0.1161232009477,0.162963202279386
0.97211,0.104134277955984,0.1044461880476,0.151301654847427
