ArcLen,ML,LES,RANS
0.0213399999999997,-0.286454830194778,-0.286454830194778,-0.233587803883241
0.0711599999999996,-0.197568934071093,-0.197568934071093,-0.165070069184181
0.18556,0.706512124546917,0.734822960836675,0.605342342411673
0.24277,1.17173529932355,1.18213370477825,0.929861554681668
0.2998,1.32658896593122,1.35118475023664,1.05056832611222
0.35662,1.33265085460548,1.35272388662721,1.09043965430997
0.41324,1.31796479995075,1.33301524514595,1.10446888251002
0.46965,1.308243999292,1.31890906012636,1.10553858230147
0.52589,1.29474923620357,1.3029866941659,1.09905112241521
0.58197,1.28273319840238,1.28918833642443,1.09282531571535
0.63792,1.27539382652394,1.28113095741979,1.088638864733
0.69377,1.26808446780511,1.27272727272727,1.08569141854505
0.74953,1.26322656857237,1.26717099035731,1.08345967077873
0.80524,1.25757024233702,1.26075279160863,1.08180509915886
0.8609,1.25469898340041,1.25762064905382,1.08064305118398
0.91652,1.2532318016361,1.25614307811887,1.07991196139846
0.97211,1.25173422192808,1.25467320286587,1.0796272211662
