ArcLen,ML,LES,RANS
0.0213399999999997,-0.286331433318718,-0.286331433318718,-0.233485564219665
0.0711599999999996,-0.197483826798668,-0.197483826798668,-0.164997819229092
0.18556,0.739713074715959,0.734506419280148,0.605077388521068
0.24277,1.17741674935961,1.18162447403442,0.929454561118893
0.2998,1.33539181070624,1.35060269694382,1.05010850008346
0.35662,1.34596266125124,1.35214117031669,1.08996237689414
0.41324,1.33243640335695,1.33244101877707,1.1039854646042
0.46965,1.32051169624382,1.31834091031469,1.10505469619592
0.52589,1.30494696113047,1.30242540327233,1.09857007582314
0.58197,1.2905406964669,1.28863298948453,1.09234699411307
0.63792,1.28171293625336,1.28057908137755,1.08816237550952
0.69377,1.27331441011085,1.27217901676167,1.08521621939709
0.74953,1.26806360048923,1.2666251278856,1.08298544845034
0.80524,1.26235124885576,1.26020969392072,1.08133160102431
0.8609,1.25900199232302,1.25707890060693,1.08017006166928
0.91652,1.25718351679628,1.25560196616897,1.07943929187638
0.97211,1.25577427518673,1.25413272409788,1.07915467627283
