ArcLen,ML,LES,RANS
0.0213399999999997,0.0117416867395704,0.0117416867395704,-0.11828109247901
0.0711599999999996,-0.0507670286202412,-0.0507670286202412,-0.148650562169567
0.18556,-0.113447480818513,-0.217600024626182,0.120936872320941
0.24277,-0.117718091778703,-0.183615123554174,0.186867318747451
0.2998,-0.110851065467166,-0.147004455799851,0.208389832465004
0.35662,-0.105270772569511,-0.129168173737716,0.216640373086661
0.41324,-0.0993958889667008,-0.109895877423178,0.222078911522745
0.46965,-0.0943219719415436,-0.0984069938357587,0.226981060926714
0.52589,-0.0909229431366061,-0.0859569195724279,0.232060980583794
0.58197,-0.0860872536419815,-0.0755161109101683,0.236506776047959
0.63792,-0.079565778841492,-0.0689436137383314,0.240289973295984
0.69377,-0.0725144717299123,-0.0613639826693242,0.243640673218257
0.74953,-0.0690521228538667,-0.0564943860000154,0.246687393703393
0.80524,-0.0653426810216787,-0.050002770445503,0.249484004525061
0.8609,-0.0624598631707749,-0.0459790831364521,0.252058979706487
0.91652,-0.0598143801512971,-0.0426997221858815,0.254446180248263
0.97211,-0.0571981253318763,-0.0396770891852582,0.256613284286187
