ArcLen,ML,LES,RANS
0.0213399999999997,0.0241463564793794,0.0241463564793794,0.00172861177593252
0.0711599999999996,0.0565362505098389,0.0565362505098389,0.0110650054254558
0.18556,0.243706240428496,0.23662913739101,0.30867457269726
0.24277,0.389769514325512,0.384172290927561,0.40103660835905
0.2998,0.417344720377396,0.418628937303279,0.404318047143748
0.35662,0.386275059064359,0.386162394280569,0.383257274343366
0.41324,0.33785509800451,0.334368146033261,0.35689032883649
0.46965,0.303662028735676,0.300545623850458,0.327085722201273
0.52589,0.26373821598701,0.261705517034392,0.295317947099882
0.58197,0.229421746458062,0.228437083952194,0.267484974180987
0.63792,0.20674984416244,0.206584425478864,0.243915409063974
0.69377,0.181506929961599,0.180920865302479,0.223497995274851
0.74953,0.164622449843393,0.1648384291574,0.205547817119814
0.80524,0.145095618848264,0.145471475954842,0.18968009050122
0.8609,0.13243549094603,0.13292366653071,0.175601609936665
0.91652,0.116282446919034,0.116173245192123,0.16303456130765
0.97211,0.104617601563763,0.104491199987687,0.15136790746712
